Group,Scheme,Sub Scheme Name,Programme Name,Sub Programme Name,Major Head Code,Actuals 2020-2021,Budget 2021-2022,Revised 2021-2022,Budget 2022-2023
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Sugar,NA,38,0.35,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Cess on Automobiles,NA,38,NA,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Others,NA,38,NA,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Clean Environment Cess,NA,38,0.01,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Infrastructure Cess,NA,38,-0.07,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess),NA,38,123596.45,198000,203235,138450
Tax Revenue,Union Excise Duties,Cesses administrated by Department of Revenue,Agriculture Infrastructure and Development Cess (AIDC),NA,38,NA,NA,48920,50380
NA,NA,Total-Cesses administrated by Department of Revenue,NA,NA,NA,134492.4,207900,269655,206850
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Rubber,NA,38,0.04,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Jute,NA,38,0.06,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Tea,NA,38,0.05,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Oil and Oil Seeds,NA,38,0.14,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Cotton,NA,38,0.02,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Tobacco,NA,38,0.01,NA,NA,NA
Tax Revenue,Union Excise Duties,Cesses administered by Other Departments,Paper,NA,38,0.01,NA,NA,NA
NA,NA,Total-Cesses administered by Other Departments,NA,NA,NA,0.33,NA,NA,0
Tax Revenue,Union Excise Duties,Auxiliary Duties of Excise,NA,NA,38,-17.98,NA,NA,NA
Tax Revenue,Union Excise Duties,Special Excise Duties,NA,NA,38,4374.2,NA,NA,NA
Tax Revenue,Union Excise Duties,Excise Duty on generation of Power,NA,NA,38,NA,NA,NA,NA
Tax Revenue,Union Excise Duties,Additional Excise Duty on Textile and Textile Articles,NA,NA,38,0.07,NA,NA,NA
Tax Revenue,Union Excise Duties,Additional Duty of Excise on Mineral Product,NA,NA,38,NA,NA,NA,NA
Tax Revenue,Union Excise Duties,Additional Excise Duties in lieu of Sales Tax,NA,NA,38,-0.56,NA,NA,NA
Tax Revenue,Union Excise Duties,Additional Excise Duties on TV Sets,NA,NA,38,-2.2,NA,NA,NA
Tax Revenue,Union Excise Duties,Other Duties,NA,NA,38,35.42,NA,NA,NA
Tax Revenue,Union Excise Duties,Sale of Confiscated Goods,NA,NA,38,0.05,NA,NA,NA
Tax Revenue,Union Excise Duties,Miscellaneous Receipts,NA,NA,38,83.75,NA,NA,NA
NA,Total-Union Excise Duties,NA,NA,NA,NA,389667.08,335000,394000,335000
Tax Revenue,Service Tax,Collections,NA,NA,44,1579.51,1000,1000,2000
Tax Revenue,Service Tax,Primary Education Cess,NA,NA,44,5.09,NA,NA,NA
Tax Revenue,Service Tax,Secondary & Higher Education Cess,NA,NA,44,2.81,NA,NA,NA
Tax Revenue,Service Tax,Swachh Bharat Cess,NA,NA,44,17.34,NA,NA,NA
Tax Revenue,Service Tax,Krishi Kalyan Cess,NA,NA,44,10.6,NA,NA,NA
Tax Revenue,Service Tax,Other Receipts,NA,NA,44,-0.51,NA,NA,NA
NA,Total-Service Tax,NA,NA,NA,NA,1614.84,1000,1000,2000
Tax Revenue,Goods and Services Tax (GST),Central Goods and Services Tax (CGST),NA,NA,5,456333.97,530000,570000,660000
Tax Revenue,Goods and Services Tax (GST),Integrated Goods and Services Tax (IGST),NA,NA,8,7251.43,NA,NA,NA
Tax Revenue,Goods and Services Tax (GST),GST Compensation Cess,NA,NA,9,85191.91,100000,105000,120000
NA,Total-Goods and Services Tax (GST),NA,NA,NA,NA,548777.31,630000,675000,780000
Tax Revenue,Other Taxes and Duties on Commodities and Services,"Taxes on Sale, Trade etc.",NA,NA,40,NA,NA,NA,NA
Tax Revenue,Other Taxes and Duties on Commodities and Services,Other Taxes,NA,NA,45,2081.46,NA,NA,NA
NA,Total-Other Taxes and Duties on Commodities and Services,NA,NA,NA,NA,2081.46,NA,NA,NA
Tax Revenue,Taxes of Union Territories,Land Revenue,NA,NA,710,9.2,36.41,36.41,27.05
Tax Revenue,Taxes of Union Territories,Stamps and Registration,NA,NA,710,238.08,381.54,381.54,422.9
Tax Revenue,Taxes of Union Territories,State Excise Duties,NA,NA,710,874.19,1555.03,1555.03,1716.5
Tax Revenue,Taxes of Union Territories,Sales Tax,NA,NA,710,988.54,1342.79,1342.79,1487.01
Tax Revenue,Taxes of Union Territories,Taxes on Vehicles,NA,NA,710,192.49,333.09,333.09,368.45
Tax Revenue,Taxes of Union Territories,Taxes on goods and passengers,NA,NA,710,3.92,25.25,25.25,28.5
Tax Revenue,Taxes of Union Territories,Taxes and Duties on Electricity,NA,NA,710,23.64,58,58,64
Tax Revenue,Taxes of Union Territories,Other Taxes and Duties,NA,NA,710,242.08,0.03,0.03,0.11
Tax Revenue,Taxes of Union Territories,Union Territories Goods and Services Tax (UTGST),NA,NA,7,2764.2,3327.13,3327.13,3705.61
NA,Total-Taxes of Union Territories,NA,NA,NA,NA,5336.34,7059.27,7059.27,7820.13
Tax Revenue,Less-NCCD transferred to the National Disaster Response Fund,NCCD (Customs),NA,NA,37,-721.19,-850,-880,-900
Tax Revenue,Less-NCCD transferred to the National Disaster Response Fund,NCCD (Union Excise),NA,NA,38,-5098.81,-5250,-5250,-5500
NA,Total-Less-NCCD transferred to the National Disaster Response Fund,NA,NA,NA,NA,-5820,-6100,-6130,-6400
Tax Revenue,Less-States' Share,NA,NA,NA,710,-594996.76,-665562.74,-720556.85,-816649.47
Tax Revenue,Less-States' share adjustment as per Actual,NA,NA,NA,710,NA,NA,-24227.77,NA
Total-Tax Revenue,NA,NA,NA,NA,NA,1426287.08,1545396.53,1765144.65,1934770.66
Grand Total,NA,NA,NA,NA,NA,1426287.08,1545396.53,1765144.65,1934770.66
